recipe_name;image;time;calories;portions;ingredients;process
Цветаевский яблочный пирог;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213175134/120213175209/p_O.jpg;30;996;4;"Яблоко:1 кг;Пшеничная мука:2 стакана;Сметана:1,5 банок;Сливочное масло:150 г;Уксус:1 чайная ложка;Сахар:1 стакан;Сода:½ чайные ложки;Куриное яйцо:1 штука;";Сливочное масло комнатной температуры натрите на терке и смешайте с 1,5 стаканами муки. Затем влейте в тесто полстакана сметаны и как следует перемешайте. В конце добавьте соду гашеную уксусом, перемешайте и немного помесите тесто руками. Тесто должно получиться мягкое и не прилипать к рукам.Яблоки очистите от кожуры, удалите сердцевину и с помощью картофелечистки нарежьте на тонкие пластиночки, похожие на лепестки.Раскатайте тесто и придайте ему форму той емкости, в которой вы будете выпекать пирог. Уложите на дно формы тесто, сверху разложите яблочные лепестки.В отдельной миске смешайте 1 стакан сметаны, яйцо, сахар и 2 столовые ложки муки и слегка взбейте. Крем по консистенции должен получиться достаточно жидким. Залейте форму с тестом и яблоками кремом.Разогрейте духовку до 200 градусов, поместите туда форму и выпекайте минут 50.
Творожный кекс с яйцами;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213175333/1202131754142/p_O.jpg;30;544;4;"Творог:200 г;Сметана:2 столовые ложки;Куриное яйцо:2 штуки;Сливочное масло:2 столовые ложки;Пшеничная мука:1 стакан;Сахар:1 стакан;Соль:по вкусу;Сода:½ чайные ложки;";Взять 200 грамм творога, добавить 2 яйца, 2 столовые ложки сметаны, 2 столовые ложки растопленного сливочного масла, стакан муки, стакан сахара, половину чайной ложки погашенной соды, щепотку соли.Все перемешать, выложить в форму. Выпекать в духовке при температуре 180 градусов.
Сырный суп по-французски с курицей;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120705181646/120721221514/p_O.jpg;60;379;4;"Куриное филе:500 г;Плавленый сыр:200 г;Картофель:400 г;Лук:150 г;Морковь:180 г;Сливочное масло:по вкусу;Соль:по вкусу;Молотый черный перец:по вкусу;Зелень:по вкусу;Лавровый лист:3 штуки;Гренки:по вкусу;Черный перец горошком:2 штуки;";В кастрюлю на 3 литра положить мясо и налить воды. Как только бульон начнет кипеть, добавить 1 чайную ложку соли, пару горошков душистого перца и черного, 2–3 листика лаврового листа. Варить от момента закипания 20 минут. Затем мясо вынуть.Картофель почистить и нарезать кубиками. Лук нарезать кубиками. Морковь натереть на терке. Мясо порезать небольшими кусочками. Плавленый сыр (если в виде брусочка) натереть на терке или порезать кубиками.В кипящий бульон добавить картофель. С момента закипания 5–7 минут.В это время сделать слабую зажарку на сливочном масле. Сначала положить лук, затем морковь. Слегка посолить и поперчить. Готовую зажарку добавить в суп и варить еще 5–7 минут.Затем добавить порезанное мясо. Варить 3–4 минуты, добавить плавленый сыр, хорошенько помешать и выключить огонь.Перед подачей посыпать зеленью. По желанию подавать с гренками.
Оякодон (японский омлет с рисом и курицей);https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130713154821/130723190525/p_O.jpg;30;1190;1;"Репчатый лук:1 головка;Куриное филе:300 г;Рис:½ стакана;Куриное яйцо:3 штуки;Соевый соус:6 столовых ложек;Сахар:2 столовые ложки;Зеленый лук:20 г;";Репчатый лук очистить и нарезать тонкими полукольцами. На среднем огне разогреть сковороду и влить в нее шесть столовых ложек соевого соуса.Как только соевый соус начнет кипеть, бросить в сковороду луковые полукольца и посыпать сверху сахаром. Готовить, периодически помешивая, две-три минуты.Тем временем куриное филе нарезать небольшими кусочками — сильно измельчать мясо не нужно, готовые ломтики должны остаться сочными и плотными.Положить курицу в сковороду и перемешать с соусом. Когда мясо побелеет с одной стороны, перевернуть аккуратно ломтики и потушить еще пару минут. Куриное филе готовится удивительно быстро: максимум три-четыре минуты.В отдельной миске вилкой или венчиком быстро взбить яйца в однородную смесь. Добавлять соль при этом не нужно — соевый соус, в котором тушится мясо, и так достаточно солон.Вылить яичную смесь на сковороду, стараясь равномерно покрыть все мясо. Накрыть сковороду крышкой и готовить омлет три-четыре минуты, не мешая, пока яйца как следует не схватятся.Зеленый лук измельчить. На сервировочную тарелку выложить горкой теплый рис, сваренный на пару.Сверху на рис аккуратно выложить омлет — для удобства его можно разделить лопаткой на треугольные сегменты. Посыпать оякодон измельченным зеленым луком — и подавать горячим.
Маффины с голубикой и мускатным орехом;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213184952/120213185323/p_O.jpg;35;268;12;"Сливочное масло:110 г;Пшеничная мука:290 г;Разрыхлитель:2 чайные ложки;Соль:щепотка;Сахар:250 г;Голубика:1 стакан;Куриное яйцо:2 штуки;Ванильный экстракт:2 чайные ложки;Молоко:120 мл;Мускатный орех:¼ чайные ложки;";Форму для маффинов смазать маслом и посыпать мукой.Венчиком смешать муку, соль, разрыхлитель. Голубику обвалять в двух чайных ложках мучной смеси.Миксером на средней скорости взбить сливочное масло с сахаром (200 грамм). Займет это примерно четыре-пять минут. Затем по одному добавить яйца, потом — ваниль.Переключить миксер на самый медленный режим, всыпать муку, размешать и постепенно влить молоко. Размешивать надо, пока тесто не станет более-менее сходиться, тогда маффины получатся нежными и рыхлыми. Лопаточкой вмешать голубику.Разложить тесто в формочки. Оставшиеся 50 грамм сахара смешать с тертым мускатным орехом и посыпать шапки маффинов.Поставить будущие маффины в разогретую до 190 градусов духовку и продержать в ней примерно двадцать пять минут.
Американские блины;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120214155832/120214160646/p_O.jpg;20;208;10;"Куриное яйцо:2 штуки;Соль:1 чайная ложка;Сахар:3 столовые ложки;Молоко:2 стакана;Пшеничная мука:2 стакана;Гашеная сода:1 чайная ложка;Растительное масло:¼ стакана;";Яйца взбить с сахаром и солью до появления пены.Добавить стакан молока, хорошо взбить венчиком, постепенно всыпать муку, постоянно разбивая комочки венчиком.Повторить предыдущий пункт, добавив оставшиеся стаканы молока и муки.Влить растительное масло (можно заменить топленым сливочным).Погасить соду, добавить в тесто и еще раз хорошо перемешать. Оставить постоять минут 5–10. За это время разогреть сковороду.Жарить на умеренном огне. Как только появятся и начнут лопаться пузырьки, перевернуть оладушек и жарить еще секунд 20.
Курица «Пикассо»;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120214133254/120214133453/p_O.jpg;45;637;4;"Куриная грудка:4 штуки;Лук:2 штуки;Сладкий перец:3 штуки;Чеснок:3 зубчика;Помидоры:4 штуки;Овощной бульонный кубик :1 штука;Сыр:100 г;Смесь итальянских трав:1 столовая ложка;Вода:½ стакана;Сливки:½ стакана;Оливковое масло:2 столовые ложки;Мускатный орех:щепотка;Соль:по вкусу;Сливочное масло:1 столовая ложка;Молотый черный перец:по вкусу;";Нарежьте болгарский перец кольцами (лучше выбрать трех разных цветов — это выглядит красочнее), предварительно удалив семена. Лук нарезать полукольцами, чеснок натереть на мелкой терке.Куриные грудки посолить, поперчить. В комбинации 2 столовые ложки оливкового и 1 столовая ложка сливочного масла, обжарить грудки до золотистой корочки. Переложить в форму для духовки.В этой же сковороде обжарить лук до золотистого цвета, переложить в форму к курице.Время для болгарского перца — слегка обжарить кольца, пока они не станут мягкими — и к курице.Тертый чеснок поместить в сковороду, пассеровать 30 секунд, затем залить водой, добавив нарезанные помидоры (кожицу можно предварительно удалить), хорошо перемешать. Добавить итальянских трав, овощной бульонный кубик, соль, перец, щепотку мускатного ореха. Влить полстакана сливок, перемешать.Варить соус 5 минут на медленном огне. Залить им курицу с овощами. Закрыть фольгой, отправить в духовку при температуре 200 градусов на 30 минут.Достать, посыпать натертым на терке сыром, поместить курицу обратно в духовку, но уже без фольги, еще на 15 минут, пока сыр не расплавится.
Брускетта с помидорами;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131082911/130715122449/p_O.jpg;10;132;4;"Белый хлеб:4 куска;Помидоры:3 штуки;Оливковое масло:30 мл;Чеснок:3 зубчика;Бальзамический крем:10 г;Свежемолотый черный перец:по вкусу;Соль:по вкусу;Зелень:30 г;";Поджарить хлеб на сухой сковородке или в духовке до золотистой корочки. В духовке это займет три-пять минут (в зависимости от размера ломтя хлеба) при температуре 200 градусов.Помидоры нарезать кубиками с ребром около полсантиметра. Мелко нарубить три зубчика чеснока.Разогреть сковороду, плеснуть в нее немного оливкового масла и высыпать в него помидоры и чеснок. Готовить их минуту-другую, просто чтобы прогреть, не потеряв вкуса свежего помидора. Тогда капнуть в сковороду бальзамического крема, перемешать и снять с огня.Поджаренный хлеб пропитать оставшимся оливковым маслом, разлив понемногу на каждый ломоть. Сверху выложить теплые помидоры, посолить по вкусу, посыпать свежемолотым черным перцем и мелко нарезанной зеленью — любой, какая окажется под рукой. И подавать как закуску — например, к вину.
Картофель «Айдахо»;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/110809195434/120214160716/p_O.jpg;60;978;3;"Молодой картофель:10 штук;Оливковое масло extra virgin:250 мл;Укроп:1 пучок;Петрушка:1 пучок;Чеснок:3 зубчика;TABASCO® Оригинальный красный:1 чайная ложка;Соль:по вкусу;";Картофель хорошо промыть (очищать не надо), нарезать вдоль на восемь долек, положить в кастрюлю с холодной подсоленной водой.Довести до кипения и варить 2–3 минуты. Слить воду и поставить картофель остывать.Смешать оливковое масло с мелко порезанной зеленью, соусом и продавленным через чеснокодавилку чесноком. Выложить картофель на противень в один слой, предварительно обмакнув дольки в получившуюся смесь.Запекать в духовке 15–20 минут при температуре 200 градусов.
Американские панкейки с корицей;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131085624/120424122815/p_O.jpg;30;366;4;"Пшеничная мука:240 г;Молоко:220 мл;Сахар:2 столовые ложки;Куриное яйцо:4 штуки;Соль:щепотка;Гашеная сода:0,2 чайных ложек;Молотая корица:по вкусу;";Отделить белки от желтков. Белки убрать в холодильник, а желтки выложить в глубокую и широкую миску, добавить к ним сахар, пару щепоток моло- той корицы и растереть до однородной массы.Влить небольшой струйкой в миску полный стакан молока и смешать с яично-сахарной смесью венчиком, стараясь при этом не взбивать жидкость до образования пены.Аккуратно всыпать в яично-молочную смесь просеянную муку, не переставая помешивать венчиком. Добавить соду, гашенную уксусом. Осторожно перемешать.Вымесить венчиком однородное густое тесто, по возможности максимально разбивая образовавшиеся комочки. По консистенции масса должна напоминать густую сметану.В охлажденные белки добавить щепотку соли и взбить венчиком в крутую пену. Если под рукой есть миксер, то лучше воспользоваться им — на высоких оборотах весь процесс займет не больше минуты.Бережно, силиконовой лопаткой или деревянной ложкой, постепенно вмешать взбитые белки в тесто, стараясь не повредить их хрупкую текстуру. Широкую сковороду с антипригарным покрытием смазать половиной чайной ложки сливочного масла и разогреть на умеренном огне.Вылить на сковороду два полных половника теста — один половник на один блинчик. Печь примерно полторы минуты, затем перевернуть и подрумянить с другой стороны. Переложить на блюдо, а на сковороду вылить следующую порцию теста.Добавлять в сковороду масло при этом больше не нужно: все остальные блинчики должны не жариться, а печься на слабом огне до приобретения легкого равномерного румянца. Готовые панкейки выложить на блюдо, смазать оставшимся сливочным маслом и сразу подавать.
Рататуй;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/150810204910/150818154229/p_O.jpg;25;191;4;"Баклажаны:2 штуки;Желтый сладкий перец:1 штука;Красный сладкий перец:1 штука;Репчатый лук:1 головка;Чеснок:2 зубчика;Помидоры:2 штуки;Сахар:щепотка;Оливковое масло:50 мл;Томатная паста :½ чайные ложки;Петрушка:10 г;Соль:по вкусу;Молотый черный перец:по вкусу;";Нарезать мелкими кубиками лук и баклажаны. Баклажаны посыпать солью и дать им полежать несколько минут, чтобы пустили сок.За это время очистить перцы и помидоры от внутренностей, а мякоть нарезать такими же мелкими кубиками, как до того баклажаны и лук. Чеснок и петрушку мелко нарубить.Разогреть в сковородке часть оливкового масла, обжарить до мягкости лук и откинуть его на дуршлаг.Добавить в сковороду немного масла, обжарить на нем до мягкости предварительно отжатые от лишней жидкости кубики баклажанов. Обжаренные баклажаны откинуть на дуршлаг. Теперь осталось обжарить все на том же масле кубики перца и тоже откинуть их на дуршлаг.Долить в сковороду оставшееся масло, обжарить чеснок до мягкости, тут же добавить томатную пасту и щепотку сахара, а потом сразу помидоры. Тушить тридцать секунд, после ­чего вмешать все ранее обжаренные овощи и рубленую ­петрушку, посолить, поперчить, потомить минуту — и снять с огня.
Крем-суп из тыквы;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213175233/131019155948/p_O.jpg;15;343;6;"Молотый черный перец:по вкусу;Соль:по вкусу;Очищенные семена тыквы:50 г;Сахар:2 столовые ложки;Петрушка:20 г;Сливки:200 мл;Бренди:50 мл;Сливочное масло:100 г;Чеснок:6 зубчиков;Красный лук:1 головка;Тыква:1 кг;Куриный бульон:1 л;";Мелко нарубить красный лук и чеснок и обжарить в глубоком сотейнике на сливочном масле. Сначала лук, а когда он станет мягким — чеснок. Чеснок жарится только до появления сильного аромата — не дольше. Пережаренный чеснок — горчит.Дальше нужно высыпать в сотейник нарезанную мелкими кубиками мякоть тыквы и обжарить ее вместе с луком и чесноком, следя за тем, чтобы ничего не подгорело и постоянно помешивая всю компанию.Как только тыква немного размягчится, что легко определить простым нажатием ложки, влить на сковороду бренди и жарить еще минут пять, пока алкоголь не выпарится.Затем нужно залить содержимое сотейника куриным бульоном, добавить перец, соль, сахар и еще 5–7 минут поварить.Получившуюся кашу разбить в блендере вместе с нежирными сливками, петрушкой (предварительно нарезав ее).Подавать с обжаренными на сухой сковороде очищенными тыквенными семечками.
Пирог с капустой;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131084941/120213180420/p_O.jpg;80;840;6;"Белокочанная капуста:1 штука;Оливковое масло:50 мл;Куриное яйцо:2 штуки;Сливочное масло:270 г;Молоко:400 мл;Крупная соль:1,5 столовых ложек;Пшеничная мука:500 г;Сахар:2 столовые ложки;Свежие дрожжи:22 г;";Просеянную муку смешать с половиной столовой ложки соли, сахаром и дрожжами. Руками смешать результат с 250 граммами сливочного масла комнатной температуры до состояния, напоминающего хлебную крошку или крупный песок. Добавить 250 мл молока и замесить тесто. Оставить его на сорок минут в тепле, чтобы оно поднялось.Тем временем тонко нашинковать капусту, перемешать ее со столовой ложкой соли, залить кипятком, дать минут десять постоять, слить воду, отжать всю жидкость, которая останется в недрах капусты. И в глубокой сковороде потушить капусту на смеси оливкового и сливочного масла. Сливочного масла нужно немного — граммов двадцать. Тушить на сильном огне десять минут, после чего добавить полстакана молока, убрать огонь до слабого. И тушить еще минут двадцать, постоянно помешивая и подсаливая по вкусу. После чего снять с огня и дать подостыть.Параллельно нужно сварить вкрутую два куриных яйца.Поднявшееся тесто (по рыхлой, воздушной текстуре оно должно напоминать тесто для пышек) раскатать в тонкие пласты, не забывая употреблять для этого не только скалку, но и достаточное количество муки.На противень выложить тонкий пласт теста и поверх него равномерно распределить тушеную капусту и нарубленные крутые яйца. Сверху накрыть другим пластом и скрепить края теста. Проделать в пироге вилкой или ножом дюжину дырок, чтобы пирог мог дышать. И отправить его в духовку, разогретую до 180 градусов, на полчаса до образования румяной корочки. Перед отправкой можно смазать поверхность взбитым сырым яйцом.
